number,value,datetime_start,datetime_complete,duration,params_add_l1,params_batch_size,params_conv1_channels,params_conv2_channels,params_criterion,params_dropout,params_epochs,params_fc_size,params_kernel_size_conv1,params_lambda_l1,params_lr,params_use_batch_norm,user_attrs_mean_accuracy,user_attrs_std_accuracy,state
21,0.7813166666666667,2024-10-31 17:04:10.646923,2024-10-31 17:13:09.053566,0 days 00:08:58.406643,False,128,128,64,nf_land_rce,0.2517585756181259,50,64,3,0.0,5.103345238242022e-05,True,0.7813166666666667,0.06370738226889844,COMPLETE
22,0.7923650793650794,2024-10-31 17:13:09.065716,2024-10-31 17:20:41.188477,0 days 00:07:32.122761,False,128,128,64,nf_land_rce,0.14100687855417912,42,64,3,0.0,0.0004489330090252505,True,0.7923650793650794,0.0624359008668666,COMPLETE
23,0.7908081395348837,2024-10-31 17:20:41.199560,2024-10-31 17:28:26.123450,0 days 00:07:44.923890,False,128,128,64,nf_land_rce,0.17508475192192802,43,64,3,0.0,0.0003870703059573136,True,0.7908081395348837,0.06688419582234831,COMPLETE
24,0.7350634057971014,2024-10-31 17:28:26.138560,2024-10-31 17:36:37.079352,0 days 00:08:10.940792,False,128,128,64,nf_land_rce,0.13853310960088375,46,64,3,0.0,0.0019808650191064977,True,0.7350634057971014,0.04860613351432245,COMPLETE
25,0.7854126984126983,2024-10-31 17:36:37.093902,2024-10-31 17:44:03.694213,0 days 00:07:26.600311,False,128,128,64,nf_land_rce,0.19726113456163036,42,64,3,0.0,0.00020403713486800672,True,0.7854126984126983,0.06373778530242678,COMPLETE
26,0.7875961538461538,2024-10-31 17:44:03.704668,2024-10-31 17:50:58.623993,0 days 00:06:54.919325,False,128,128,64,nf_land_rce,0.3335197969715894,39,64,3,0.0,0.0004302617511325013,True,0.7875961538461538,0.06287558810241214,COMPLETE
27,0.6539237588652482,2024-10-31 17:50:58.635285,2024-10-31 17:59:28.010559,0 days 00:08:29.375274,True,128,128,64,nf_land_rce,0.13888893091749013,47,64,3,0.008483424013584191,0.0001340078226976447,True,0.6539237588652482,0.026556191983781154,COMPLETE
28,0.771014705882353,2024-10-31 17:59:28.021086,2024-10-31 18:06:25.038690,0 days 00:06:57.017604,False,128,128,64,nf_land_rce,0.25275361497949306,34,64,4,0.0,5.5294545910358066e-05,True,0.771014705882353,0.0652946829157655,COMPLETE
29,0.36468468468468457,2024-10-31 18:06:25.050680,2024-10-31 18:19:11.145367,0 days 00:12:46.094687,False,32,128,256,nf_land_rce,0.18582774398042012,37,256,2,0.0,0.001307961933221718,True,0.36468468468468457,0.02000891444664124,COMPLETE
30,0.7775590277777777,2024-10-31 18:19:11.156997,2024-10-31 18:25:38.647250,0 days 00:06:27.490253,False,64,32,128,cross_entropy,0.13360047112525977,48,128,5,0.0,0.0005382354060430664,False,0.7775590277777777,0.06845470665296632,COMPLETE
31,0.7973977272727272,2024-10-31 18:25:38.658314,2024-10-31 18:33:29.995441,0 days 00:07:51.337127,False,128,128,64,nf_land_rce,0.25720289911166416,44,128,3,0.0,0.0002529819282040766,True,0.7973977272727272,0.06596318672115886,COMPLETE
32,0.7962594696969698,2024-10-31 18:33:30.006455,2024-10-31 18:41:21.293618,0 days 00:07:51.287163,False,128,128,64,nf_land_rce,0.2540784239473116,44,128,3,0.0,0.00015483494497033802,True,0.7962594696969698,0.07319499308421011,COMPLETE
33,0.7968617424242423,2024-10-31 18:41:21.305068,2024-10-31 18:49:12.223430,0 days 00:07:50.918362,False,128,128,64,nf_land_rce,0.26352907320227736,44,128,3,0.0,0.0002817249690005036,True,0.7968617424242423,0.0691158811892753,COMPLETE
34,0.7931287878787879,2024-10-31 18:49:12.233709,2024-10-31 18:57:03.280227,0 days 00:07:51.046518,False,128,128,64,nf_land_rce,0.2603581957517096,44,128,3,0.0,0.00022986473223712988,True,0.7931287878787879,0.06109871146325555,COMPLETE
35,0.7218242753623189,2024-10-31 18:57:03.291832,2024-10-31 19:00:48.489338,0 days 00:03:45.197506,False,128,32,64,cross_entropy,0.3264490730134513,46,128,3,0.0,0.0001460584004627121,False,0.7218242753623189,0.050722545667263724,COMPLETE
36,0.8095746527777777,2024-10-31 19:00:48.499654,2024-10-31 19:10:05.917015,0 days 00:09:17.417361,False,128,128,128,nf_land_rce,0.24209237900577477,48,128,2,0.0,0.00023746676972336207,True,0.8095746527777777,0.06545455431392833,COMPLETE
37,0.703725,2024-10-31 19:10:05.928069,2024-10-31 19:19:53.636650,0 days 00:09:47.708581,True,128,128,128,cross_entropy,0.3123612282269492,50,128,2,0.0008707134144739248,0.00026418498038228587,True,0.703725,0.022210634652496238,COMPLETE
