number,value,datetime_start,datetime_complete,duration,params_add_l1,params_batch_size,params_conv1_channels,params_conv2_channels,params_criterion,params_dropout,params_epochs,params_fc_size,params_kernel_size_conv1,params_lambda_l1,params_lr,params_use_batch_norm,user_attrs_mean_accuracy,user_attrs_std_accuracy,state
0,0.24716222426470597,2024-10-31 22:36:00.274244,2024-10-31 22:38:57.568700,0 days 00:02:57.294456,True,128,128,128,nf_land_rce,0.2566895741873441,34,256,2,0.0038553349283987656,0.0004300025372090388,False,0.24716222426470597,0.003307376010280313,COMPLETE
1,0.24134114583333338,2024-10-31 22:38:57.580349,2024-10-31 22:41:34.623146,0 days 00:02:37.042797,True,128,64,128,cross_entropy,0.37136168241193923,44,64,2,0.0018536605064038778,0.00022224689145275783,False,0.24134114583333338,0.0027736208859558352,COMPLETE
2,0.6851483585858585,2024-10-31 22:41:34.647051,2024-10-31 22:46:12.449561,0 days 00:04:37.802510,False,64,128,128,nf_land_rce,0.2915172986003681,33,64,5,0.0,1.0034959851589736e-05,True,0.6851483585858585,0.009641170316783345,COMPLETE
3,0.6847688802083333,2024-10-31 22:46:12.460039,2024-10-31 22:49:45.456116,0 days 00:03:32.996077,False,64,64,128,cross_entropy,0.3751784624800253,40,256,3,0.0,1.2553478905024435e-05,True,0.6847688802083333,0.01235786114281701,COMPLETE
4,0.6113324652777778,2024-10-31 22:49:45.467461,2024-10-31 22:51:28.400673,0 days 00:01:42.933212,True,128,32,64,nf_land_rce,0.49780051362845334,30,128,5,0.0014409340812802406,2.1244423675764534e-05,False,0.6113324652777778,0.08296844609372016,COMPLETE
5,0.6661005434782609,2024-10-31 22:51:28.408338,2024-10-31 22:55:16.523953,0 days 00:03:48.115615,False,64,32,256,cross_entropy,0.20793406282538332,46,256,4,0.0,1.1895595140054633e-05,False,0.6661005434782609,0.016731186359115906,COMPLETE
6,0.6830908764367817,2024-10-31 22:55:16.533218,2024-10-31 22:58:37.377498,0 days 00:03:20.844280,True,128,64,256,nf_land_rce,0.14602297367785236,29,128,5,1.4622763778370536e-05,1.9763418031157376e-05,True,0.6830908764367817,0.006729409867891608,COMPLETE
7,0.25294596354166665,2024-10-31 22:58:37.387079,2024-10-31 23:01:14.453485,0 days 00:02:37.066406,True,64,32,128,cross_entropy,0.28305822722967583,32,128,4,0.002274497931466584,4.2133816527945075e-05,False,0.25294596354166665,0.002880767418494713,COMPLETE
8,0.6763569078947368,2024-10-31 23:01:14.460576,2024-10-31 23:04:31.411031,0 days 00:03:16.950455,True,64,32,64,cross_entropy,0.46967733993943805,38,64,3,0.00041850986354976415,0.00029799638992629007,True,0.6763569078947368,0.008332724650265685,COMPLETE
9,0.40990911989795914,2024-10-31 23:04:31.419035,2024-10-31 23:11:23.764716,0 days 00:06:52.345681,False,64,128,128,nf_land_rce,0.18004935570617714,49,256,5,0.0,0.005442431524135452,True,0.40990911989795914,0.060485366936931045,COMPLETE
10,0.6127781723484849,2024-10-31 23:11:23.773911,2024-10-31 23:15:13.774869,0 days 00:03:50.000958,False,32,128,64,nf_land_rce,0.36346243034686293,22,64,5,0.0,0.007158783067777244,True,0.6127781723484849,0.03221785794246739,COMPLETE
11,0.6895499465811964,2024-10-31 23:15:13.786739,2024-10-31 23:18:29.921718,0 days 00:03:16.134979,False,64,64,128,cross_entropy,0.37040994197017857,39,64,3,0.0,6.785964990303643e-05,True,0.6895499465811964,0.011141901035577597,COMPLETE
12,0.6846354166666667,2024-10-31 23:18:29.929268,2024-10-31 23:22:33.600011,0 days 00:04:03.670743,False,32,128,128,nf_land_rce,0.3280356414319724,24,64,3,0.0,6.837406371784385e-05,True,0.6846354166666667,0.012022726132151837,COMPLETE
13,0.6839710202991451,2024-10-31 23:22:33.607167,2024-10-31 23:25:50.058273,0 days 00:03:16.451106,False,64,64,128,cross_entropy,0.4319443678912753,39,64,3,0.0,6.662840453109113e-05,True,0.6839710202991451,0.014632415557440173,COMPLETE
14,0.6744538483796296,2024-10-31 23:25:50.066809,2024-10-31 23:30:43.301095,0 days 00:04:53.234286,False,64,128,128,cross_entropy,0.240604863127338,36,64,5,0.0,0.0009885050769208373,True,0.6744538483796296,0.009861428194846603,COMPLETE
15,0.6891865079365079,2024-10-31 23:30:43.308095,2024-10-31 23:34:56.017905,0 days 00:04:12.709810,False,64,64,256,nf_land_rce,0.10820596492795903,42,64,3,0.0,0.00012840168427191164,True,0.6891865079365079,0.012844067772093471,COMPLETE
16,0.6844597868217053,2024-10-31 23:34:56.024820,2024-10-31 23:40:27.578321,0 days 00:05:31.553501,False,32,64,256,cross_entropy,0.11181279207163206,43,64,3,0.0,0.00013381125417675526,True,0.6844597868217053,0.018294605079175793,COMPLETE
17,0.6756484374999999,2024-10-31 23:40:27.590290,2024-10-31 23:45:28.530554,0 days 00:05:00.940264,False,64,64,256,nf_land_rce,0.42112526609101386,50,64,3,0.0,0.000609289108357644,True,0.6756484374999999,0.008865915535300334,COMPLETE
18,0.6596447172619048,2024-10-31 23:45:28.539022,2024-10-31 23:49:35.423985,0 days 00:04:06.884963,False,64,64,256,cross_entropy,0.31863847455886196,42,64,3,0.0,0.0017986163151638278,True,0.6596447172619048,0.011408017006561385,COMPLETE
19,0.6739894701086956,2024-10-31 23:49:35.431519,2024-10-31 23:57:03.063209,0 days 00:07:27.631690,False,32,64,256,nf_land_rce,0.11445733935998488,46,128,3,0.0,0.00014094883216019436,True,0.6739894701086956,0.006765043597371193,COMPLETE
20,0.6815007716049384,2024-10-31 23:57:03.081833,2024-11-01 00:00:04.446298,0 days 00:03:01.364465,False,64,64,256,cross_entropy,0.19654501248038495,27,64,4,0.0,4.7905242424012074e-05,True,0.6815007716049384,0.008695150196701966,COMPLETE
21,0.6870876736111111,2024-11-01 00:00:04.454365,2024-11-01 00:03:56.093988,0 days 00:03:51.639623,False,64,128,128,nf_land_rce,0.4189497922324807,36,64,2,0.0,2.5568756083089732e-05,True,0.6870876736111111,0.012302965046991009,COMPLETE
22,0.6920045045045045,2024-11-01 00:03:56.103299,2024-11-01 00:07:09.012756,0 days 00:03:12.909457,False,64,64,128,nf_land_rce,0.4129162544473789,37,64,2,0.0,0.0001148764661772254,True,0.6920045045045045,0.015431701876870506,COMPLETE
23,0.6838827489837398,2024-11-01 00:07:09.020676,2024-11-01 00:10:36.616728,0 days 00:03:27.596052,False,64,64,64,nf_land_rce,0.34258789762328296,41,64,2,0.0,0.00011117250465012124,True,0.6838827489837398,0.01345755212073248,COMPLETE
24,0.6822916666666667,2024-11-01 00:10:36.627589,2024-11-01 00:13:49.085919,0 days 00:03:12.458330,False,64,64,128,nf_land_rce,0.4023547764300281,37,64,2,0.0,0.00019266301751918143,True,0.6822916666666667,0.0124055796011786,COMPLETE
