dataset_name,model,mean_val_accuracy,mean_accuracy,std_accuracy
FashionMNIST03,MLP,0.6817716666666667,0.9390499999999999,0.0033907963666371943
FashionMNIST06,MLP,0.37005999999999994,0.815025,0.007549379113543037
CIFAR10,MLP,0.6099955000000001,0.68255,0.009326574934025906
FashionMNIST03,CNN,0.8095746527777777,0.891125,0.0654545543139283
FashionMNIST06,CNN,0.4301525297619047,0.566,0.0694587506633136
CIFAR10,CNN,0.6920045045045045,0.94475,0.015431701876870506
